UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,UGDS_MEN,UGDS_WOMEN
1878.0,,0.0059,0.8514,0.0234,0.0016,0.0059,0.0,0.0,0.0783,0.0335,,,,,,,,,,,,,0.4318,0.5682
1180.0,,0.5441,0.4203,0.0059,0.0042,0.011000000000000001,0.0,0.0068,0.0008,0.0068,,,,,,,,,,,,,0.3653,0.6347
84.0,,0.7976,0.131,0.0714,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0714,0.9286
425.0,,0.5106,0.4588,0.0071,0.0024,0.0094,0.0,0.0071,0.0,0.0047,,,,,,,,,,,,,0.3247,0.6753
2927.0,,0.2504,0.6709999999999999,0.0191,0.0157,0.0075,0.0014,0.0123,0.0198,0.0027,,,,,,,,,,,,,0.3926,0.6074
3033.0,,0.8183,0.0656,0.06,0.0092,0.002,0.0,0.0115,0.0297,0.0036,,,,,,,,,,,,,0.3508,0.6492
472.0,,0.0106,0.9703,0.0,0.0,0.0,0.0,0.0042,0.0,0.0148,,,,,,,,,,,,,0.4131,0.5869
4755.0,,0.5613,0.3466,0.0036,0.0084,0.004,0.0002,0.0145,0.0015,0.0599,,,,,,,,,,,,,0.4446,0.5554
2098.0,,0.7827,0.0648,0.0825,0.0076,0.0238,0.0,0.0,0.0086,0.03,,,,,,,,,,,,,0.3999,0.6001
11267.0,,0.6149,0.2374,0.0276,0.0345,0.0065,0.0013,0.0247,0.0382,0.0149,,,,,,,,,,,,,0.4388,0.5612
1215.0,,0.6733,0.1556,0.0626,0.0107,0.0074,0.0,0.0346,0.0222,0.0337,,,,,,,,,,,,,0.3967,0.6033
