UNITID,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,DEP_DEBT_MDN,IND_DEBT_MDN,FEMALE_DEBT_MDN,MALE_DEBT_MDN,FIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_MDN,CUML_DEBT_P90,CUML_DEBT_P75,CUML_DEBT_P25,CUML_DEBT_P10,LOAN_EVER
445470,9500,5461.5,9500,9500,9438,9349,9500,9500,9319,9500,9500,11833,10933,5500,2955,0.782816229
445498,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
445504,9833,4750,6820.5,6968,9500,7667,6767,6968,6587,7236,6818.5,14698,11160,4133,2500,0.791105543
445540,9833,5250,8373.5,PrivacySuppressed,PrivacySuppressed,5795,9500,PrivacySuppressed,PrivacySuppressed,8520,8500,16087,11730,5261,3291,0.87254902
445559,22001,7571,13000,16471,13000,12000,14700,12667,16406,13000,14084,32500,23167,6334,3167,0.849956955
445577,9445,4750,8686,9134,9407,8496,8984.5,8357.5,9366,8899,8496,12587,9500,5069,3301,0.890145396
445638,6333,3167,6333,6333,5014,4705,6333,6333,6333,6333,6333,10333,6967,3972,2750,0.889894419
445647,6333,3167,6333,6333,5014,4705,6333,6333,6333,6333,6333,10333,6967,3972,2750,0.889894419
445656,6333,3167,6333,6333,5014,4705,6333,6333,6333,6333,6333,10333,6967,3972,2750,0.889894419
445665,12761.5,5436,8350,9245.5,7916,8384.5,8503,8364,9500,8559,8342,16500,13833,4750,3032,0.88617293
445683,16500,4750,9500,PrivacySuppressed,PrivacySuppressed,9500,11000,9500,14238,9500,13000,16500,16500,4750,3500,0.852216749
445692,29000,7708,27000,23459,22902,23500,36350.5,22938,24916,23875,24916,40834,31000,9666.5,3668,PrivacySuppressed
445708,27000,9980,19133,20400,17500,19433,17250,19000,18900,19456,18576,39200,29000,8000,5500,0.956028899
