city_id,city_name,state_id,region_id,latitude,longitude
1457,Lilburn,13,5,33.901271,-84.121874
1458,Lima,39,3,40.69222,-84.14971
1459,Lincoln,17,3,40.148897,-89.34582
1460,Lincoln,31,4,40.796768,-96.651532
1461,Lincoln,44,1,41.936234,-71.48077
1462,Lincoln University,42,2,39.807725,-75.928273
1463,Lincolnton,37,5,NULL,NULL
1464,Lincroft,34,2,40.324906,-74.132746
1465,Linden,34,2,40.636528,-74.265525
1466,Lindsborg,20,4,38.5786,-97.673173
1467,Linn,29,4,38.468301,-91.811298
1468,Linthicum,24,2,39.215919,-76.672532
1469,Linwood,34,2,39.348058,-74.580524
1470,Lisbon,39,3,40.764237,-80.748402
1471,Lisle,17,3,41.776395,-88.095948
1472,Litchfield,17,3,39.175681,-89.655411
1473,Lithonia,13,5,33.697984,-84.123648
1474,Little Rock,5,5,34.726644,-92.341835
1475,Littleton,8,7,39.607505,-105.018631
1476,Live Oak,12,5,30.2839,-82.991356
1477,Livermore,6,8,37.709623,-121.804948
1478,Liverpool,36,2,43.189609,-76.240182
1479,Livingston,1,5,32.59244,-88.186077
1480,Livingston,47,5,36.395721,-85.318466
1481,Livonia,26,3,42.386463,-83.407306
1482,Loch Sheldrake,36,2,41.764174,-74.668376
1483,Lock Haven,42,2,41.142097,-77.463565
1484,Lockport,36,2,43.17038,-78.688721
1485,Locust Grove,51,5,38.375556,-77.780132
1486,Lodi,34,2,40.867272,-74.096452
1487,Logan,49,7,41.756188,-111.850619
1488,Loma Linda,6,8,34.050975,-117.261086
1489,Lombard,17,3,41.861919,-88.013153
1490,Lomita,6,8,NULL,NULL
1491,London,21,5,37.10299,-84.066427
1492,Lone Tree,8,7,39.55177,-104.873461
1493,Long Beach,6,8,33.782752,-118.1123
1494,Long Beach,36,2,40.586478,-73.670034
1495,Long Island City,36,2,40.75043,-73.941511
1496,Longmeadow,25,1,42.055364,-72.583974
1497,Longmont,8,7,40.1531,-105.104971
1498,Longview,48,6,32.467658,-94.72726
1499,Longview,53,8,46.1428,-122.937653
1500,Lookout Mountain,13,5,34.963327,-85.37496
1501,Lorain,39,3,41.465377,-82.174264
1502,Loretto,42,2,40.502782,-78.638469
1503,Los Alamitos,6,8,33.80844,-118.057661
1504,Los Alamos,35,6,35.886391,-106.316369
1505,Los Altos Hills,6,8,37.361104,-122.12833
1506,Los Angeles,6,8,34.095315,-118.344097
1507,Los Lunas,35,6,34.729284,-106.707364
1508,Loudonville,36,2,42.718586,-73.75153
1509,Louisburg,37,5,36.105393,-78.299709
1510,Louisville,21,5,38.219138,-85.7049
1511,Louisville,8,7,39.987278,-105.138528
1512,Loveland,8,7,40.445,-105.078151
1513,Lowell,25,1,42.64368,-71.308097
1514,Lower Burrell,42,2,40.562911,-79.764064
1515,Lubbock,48,6,33.563391,-101.876609
1516,Lucasville,39,3,38.854707,-82.979481
1517,Ludlow,25,1,42.170121,-72.481367
1518,Lufkin,48,6,31.28736,-94.73163
1519,Lumberton,37,5,34.6213,-79.0044
1520,Lynchburg,51,5,37.358895,-79.184391
1521,Lyndhurst,39,3,41.519637,-81.478573
