UNITID,C100_4,C100_L4,C150_4,C150_L4,C150_4_POOLED,C150_L4_POOLED,C150_4_WHITE,C150_4_BLACK,C150_4_HISP,C150_4_ASIAN,C150_4_AIAN,C150_4_NHPI,C150_4_2MOR,C150_4_NRA,C150_4_UNKN,C150_L4_WHITE,C150_L4_BLACK,C150_L4_HISP,C150_L4_ASIAN,C150_L4_AIAN,C150_L4_NHPI,C150_L4_2MOR,C150_L4_NRA,C150_L4_UNKN,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN
101897,,0.1888,,0.2855,,0.262178659,,,,,,,,,,0.2877,0.0769,0.1923,1,0.5,,0.3333,,,,0.6097,,0.3571,0
101912,0.1988,,0.4371,,0.401248301,,,0.4363,0,,1,,,0.6667,0.2,,,,,,,,,,0.7637,,0,,0.7271
101949,,0.1863,,0.25,,0.241824299,,,,,,,,,,0.3458,0.1465,0,0,0.2857,,0,,1,,0.5878,,0.4286,0
101958,,0.1111,,0.1111,,0.243914634,,,,,,,,,,0.125,0,,,,,,,,,0.25,,,0.9375
101994,,0.1696,,0.2411,,0.290358065,,,,,,,,,,0.3016,0.1739,0,,0,,,,,,0.5735,,0.5556,0
102030,,0.088,,0.088,,0.097403897,,,,,,,,,,0.1857,0.0641,0,0.2,0,,0.125,,,,0.4084,,0.3231,0
102049,0.4766,,0.661,,0.676565678,,0.6721,0.5306,0.5714,0.6667,0.75,,0,0.6,0.8,,,,,,,,,,0.8795,,0.8,,0.3385
102058,0.0378,,0.2147,,0.214084164,,0,0.221,0,,,,,,0.3333,,,,,,,,,,0.3474,,0.1,,0.8935
102067,,0.0423,,0.1163,,0.096500631,,,,,,,,,,0.1424,0.0969,0,0,0,,0,,0.05,,0.6032,,0.4071,0
102076,,0.2365,,0.3159,,0.318761985,,,,,,,,,,0.3376,0.2857,0.3158,0,0.25,,0.3333,,0.2889,,0.6235,,0.45,0.2889
102094,0.1538,,0.3824,,0.358990867,,0.4038,0.2917,0.4048,0.4815,0.2143,1,0.2857,0.4667,0.3269,,,,,,,,,,0.7107,,0.3953,,0.5729
102234,0.5087,,0.5814,,0.571847514,,0.6325,0.4138,0.7,0.75,0.5,,,,0.3846,,,,,,,,,,0.7262,,0.3333,,0.6873
102261,0.1538,,0.1765,,0.187479167,,0.25,0,,,,,,0,0.3333,,,,,,,,,,0.8182,,,,0.7702
102270,0.1208,,0.2036,,0.230312,,0.2,0.2051,0,,,,,0,,,,,,,,,,,0.6687,,,,0.8992
102298,0.3376,,0.443,,0.574560773,,0,0.4976,0.087,,,,,,,,,,,,,,,,0.4492,,0.75,,0.5956
102313,,0.0772,,0.2315,,0.277736806,,,,,,,,,,0.3222,0.197,0,0,,,,,,,0.5522,,0.3623,0
102368,0.1456,,0.3498,,0.348228524,,0.4271,0.2434,0.4828,0.375,0.1364,,0.7059,0.1978,0.3704,,,,,,,,,,0.7514,,0.376,,0.6521
102377,0.2133,,0.4723,,0.454523715,,0,0.4812,1,,,,,0,0.3077,,,,,,,,,,0.7178,,1,,0.7639
102395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4632
102429,,0.0831,,0.1663,,0.151254415,,,,,,,,,,0.1701,0.0602,0.4286,0.4,0.5,0,0.2727,,0,,0.6109,,0.4408,0
