UNITID,C100_4,C100_L4,C150_4,C150_L4,C150_4_POOLED,C150_L4_POOLED,C150_4_WHITE,C150_4_BLACK,C150_4_HISP,C150_4_ASIAN,C150_4_AIAN,C150_4_NHPI,C150_4_2MOR,C150_4_NRA,C150_4_UNKN,C150_L4_WHITE,C150_L4_BLACK,C150_L4_HISP,C150_L4_ASIAN,C150_L4_AIAN,C150_L4_NHPI,C150_L4_2MOR,C150_L4_NRA,C150_L4_UNKN,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN
147749,,0.0833,,0.2738,,0.316635,,,,,,,,,,0.4348,0.1622,0.3333,0,0,,1,,,,0.3333,,0.25,0.9467
147767,0.8536,,0.9331,,0.937393688,,0.9417,0.9268,0.8851,0.9408,1,1,1,0.9008,0.8889,,,,,,,,,,0.9686,,,,0.3237
147776,0.0504,,0.2185,,0.211289791,,0.2862,0.0769,0.1748,0.2605,0,,,0.6667,0.3284,,,,,,,,,,0.6034,,0.3409,,0.313
147800,,0.0513,,0.173,,0.157301288,,,,,,,,,,0.2067,0.1379,0.1395,0.1655,0,0,0.0417,,0.1818,,0.7508,,0.4712,0.015
147819,,0.04,,0.52,,0.651844444,,,,,,,,,,,,,,,,,,,,0.8421,,,0.9059
147828,0.4444,,0.5593,,0.566427048,,0.598,0.2128,0.3667,0.8333,1,,1,,,,,,,,,,,,0.7689,,,,0.7235
147916,,0.0932,,0.2041,,0.180795195,,,,,,,,,,0.2874,0.0503,0.1765,0.1667,0,0.5,0,,0.1957,,0.6078,,0.4553,0.2759
147970,,0.4884,,0.7209,,0.692276923,,,,,,,,,,,,,,,,,,,,0.7143,,,0.5259
148007,,0.0453,,0.1547,,0.138529268,,,,,,,,,,0.2195,0.1154,0.1373,0,0,,0.25,,0.1111,,0.4093,,0.3424,0.2079
148098,,0.1563,,0.875,,0.811774118,,,,,,,,,,,,,,,,,,,,0.875,,,0.6714
148131,0.3306,,0.4898,,0.496883507,,0.5511,0.3111,0.4,0.25,1,,0.5,1,0,,,,,,,,,,0.7564,,,,0.7023
148140,,0.4867,,0.5221,,0.491765984,,,,,,,,,,0.5408,0.25,1,,1,,0.4,,,,0.55,,,0.215
148177,0.1624,,0.2604,,0.270766329,,0.4375,0.16,0.4286,0.0833,0.5,0,1,,0.1896,,,,,,,,,,0.4613,,0.175,,0.8376
148256,,0.4387,,0.523,,0.517446719,,,,,,,,,,0.5473,0.2405,0.6154,0.3333,0.4286,,,,0,,0.6243,,0.5161,0
148292,,0.0915,,0.2324,,0.223624224,,,,,,,,,,0.2389,0.1613,0.2,1,,,,,,,0.5609,,0.2805,0.1419
148335,0.741,,0.4738,,0.467168395,,0.6103,0.3252,0.5862,0.4286,0,,,0.75,0.4074,,,,,,,,,,0.5043,,0,,0.8195
148380,,0.067,,0.2511,,0.235129342,,,,,,,,,,0.2731,0.0864,0.2766,0.0667,0,,0.2143,1,0.25,,0.6825,,0.4618,0.0952
148399,,0.1757,,0.2973,,0.297635714,,,,,,,,,,0.3559,0,0.3333,,,,,,,,0.4179,,0.5161,0.8802
148405,0.2727,,0.4463,,0.421268511,,0.494,0.1176,0.6667,1,0,,,,0.5,,,,,,,,,,0.6408,,,,0.8148
148487,0.1809,,0.3035,,0.342702554,,0.3648,0.2075,0.2639,0.2258,0.3333,,,0.3333,0.3333,,,,,,,,,,0.6503,,0.4667,,0.7253
148496,0.476,,0.6274,,0.629131714,,0.6838,0.3243,0.6098,0.5,,,,0.6667,0.6667,,,,,,,,,,0.8068,,,,0.6491
148511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6532
148575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5167
148584,0.3793,,0.5616,,0.563624439,,0.6063,0.2857,0.5,0.5,,,,1,0,,,,,,,,,,0.8101,,,,0.6871
148593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75
148627,0.3218,,0.5448,,0.509492789,,0.6564,0.3793,0.3723,0.625,1,,1,0,0.5417,,,,,,,,,,0.7479,,1,,0.7531
148654,0.3322,,0.4868,,0.461363734,,0.5667,0.411,0.2381,0.125,0,,,0.3333,0.5,,,,,,,,,,0.7917,,0.75,,0.5406
148672,,0.2361,,0.3476,,0.319968667,,,,,,,,,,0.3646,0.3,0.1905,,0,,,,0.4444,,0.6411,,0.5263,0.1414
148821,,0.1685,,0.2584,,0.270410204,,,,,,,,,,0.2923,0.2,0,,,0,,,,,0.4947,,0.381,0
148849,0.1852,,0.2963,,0.378381081,,0.3478,,,,,,0,,0,,,,,,,,,,0.625,,,,0.7835
148876,,,0.3199,,0.284987084,,0,0.1667,0.3171,0.4722,0,,,,0,,,,,,,,,,,,,,0
148885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148937,,0.18,,0.27,,0.253447465,,,,,,,,,,0.338,0.0769,0,0,0,,,,0.2,,0.5909,,0.3182,0
148955,,0.3636,,0.7455,,0.721336066,,,,,,,,,,,,,,,,,,,,0.7692,,,0.3277
148982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148991,,0.2393,,0.3681,,0.304356,,,,,,,,,,0.3766,0.1538,0,1,,,,,,,0.658,,0.4651,0.1553
149028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7273
149204,,0.4783,,0.6522,,0.681843939,,,,,,,,,,,,,,,,,,,,0.7059,,,0.5676
149222,0.2455,,0.4433,,0.438547691,,0.5167,0.3107,0.4091,0.3077,0.25,,,0.7143,0.381,,,,,,,,,,0.6814,,0.3636,,0.6092
149231,0.2867,,0.505,,0.504558195,,0.5375,0.368,0.4167,0.4242,0,,,0.1818,0.4444,,,,,,,,,,0.7264,,0.3611,,0.5999
149310,,0.0255,,0.4674,,0.484382594,,,,,,,,,,1,0.2451,0.1818,,,,,0.5714,,,0.5,,,1
149329,0,,0.2353,,0.209687097,,0.2353,,,,,,,,,,,,,,,,,,1,,,,0
149365,,0.0818,,0.1773,,0.195252381,,,,,,,,,,0.0794,0.2673,0.1277,0,,,0,,0.1429,,0.3851,,0.289,0
149499,,0.875,,1,,0.970591176,,,,,,,,,,,,,,,,,,,,1,,,0.5
149505,0.4511,,0.5787,,0.580162236,,0.6158,0.1765,0.7778,0.1429,,,,0.5714,0.5556,,,,,,,,,,0.8424,,1,,0.7149
149514,0.3582,,0.4627,,0.458174916,,0.5283,0.0833,0,0.4286,,,,,0.3333,,,,,,,,,,0.7747,,,,0.8802
149532,,0.0473,,0.1165,,0.131251034,,,,,,,,,,0.1553,0.0655,0.1156,0.1304,0,0.3333,0.0909,,0.1296,,0.6348,,0.471,0.0495
149550,,0.3617,,0.5957,,0.666631667,,,,,,,,,,,,,,,,,,,,0.5333,,0.5,0.4638
149639,0.6,,0.8,,0.749996429,,0.7727,0.6667,1,,,,1,1,,,,,,,,,,,0.8667,,,,0.6842
149727,,0.0988,,0.2412,,0.268634627,,,,,,,,,,0.2938,0.0976,0.1873,0.2917,0,0,0.0741,,0.1765,,0.6946,,0.4955,0.1379
149763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.729
149772,0.2968,,0.5426,,0.552136196,,0.561,0.4781,0.5094,0.5238,0.3333,,,0.6667,0.4875,,,,,,,,,,0.7205,,0.4524,,0.703
149781,0.7966,,0.8931,,0.88015,,0.8968,0.9048,0.8421,0.8627,,,1,0.8571,1,,,,,,,,,,0.933,,,,0.4926
149842,,0.0805,,0.2149,,0.228201348,,,,,,,,,,0.2475,0.0531,0.2159,0.0928,0,0,0.1975,,0.2917,,0.684,,0.4738,0.0837
150048,,0.0813,,0.1626,,0.127587586,,,,,,,,,,0.2128,0,0,,,,0,0,0,,0.4296,,0.2222,0.74
150066,0.4796,,0.6278,,0.599595878,,0.6468,0.4286,0.5714,0.3333,0.5,,,0.6471,0.4545,,,,,,,,,,0.7465,,0.5,,0.4688
150075,,0.25,,0.5,,0.516145161,,,,,,,,,,,,,,,,,,,,1,,,0.3333
150136,0.3704,,0.5945,,0.594160686,,0.6205,0.4419,0.5176,0.4231,0.4286,0.6667,0.6667,0.5,0.3182,,,,,,,,,,0.8141,,0.5,,0.5917
150145,0.5617,,0.6983,,0.672081466,,0.7638,0.1364,0.7143,0.5,,,0.75,0.625,,,,,,,,,,,0.8122,,0,,0.7631
150163,0.621,,0.7784,,0.757950963,,0.7906,0.6486,0.7143,0.6111,0.5,,,0.8125,0.7692,,,,,,,,,,0.9014,,0,,0.5742
150172,0.1799,,0.2394,,0.274751351,,0.2698,0.2,0.2143,0,,,1,,,,,,,,,,,,0.5772,,0.3684,,0.568
150215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150251,,0.25,,0.25,,0.155555556,,,,,,,,,,0.3077,0.1429,0,,,,,,0.3333,,0.6939,,0.6512,0.8868
150288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150303,,0,,0.6559,,0.653400568,,,,,,,,,,,,,,,,,,,,0.8421,,0.8333,0.7534
150400,0.7467,,0.8017,,0.796709494,,0.7918,0.8,0.75,0.92,0,,0.7,0.875,,,,,,,,,,,0.9267,,,,0.5551
150428,,0.7632,,0.7632,,0.776141791,,,,,,,,,,,,,,,,,,,,0.875,,,0.5238
150437,,0.1429,,0.6786,,0.69566087,,,,,,,,,,,,,,,,,,,,0.7,,,0.4184
150455,0.6471,,0.7152,,0.712695987,,0.7233,0.6875,0.5556,0.6923,1,,0.5714,0.7778,0.6538,,,,,,,,,,0.8419,,,,0.5414
150534,0.5276,,0.6445,,0.639310497,,0.6449,0.5263,0.5294,0.8333,0,,0.6875,0.6667,0.7059,,,,,,,,,,0.8453,,,,0.5252
150604,0.5392,,0.6113,,0.590159016,,0.6186,0.25,0.5,,,,1,0,0.6667,,,,,,,,,,0.7941,,,,0.7722
150668,0.5523,,0.7209,,0.711232086,,0.7252,0.5,0.6875,1,,,0.5,0.75,1,,,,,,,,,,0.7725,,,,0.599
150677,0.6159,,0.6486,,0.627349446,,0.6482,0.5714,0.5556,1,,,1,0.5,,,,,,,,,,,0.8121,,,,0.569
150695,,0.5918,,0.9592,,0.863244444,,,,,,,,,,,,,,,,,,,,0.9032,,,0.6822
150710,,0.2277,,0.5248,,0.556101463,,,,,,,,,,,,,,,,,,,,0.5667,,,0.9941
150756,0.6555,,0.686,,0.699471556,,0.6929,0.4,0.625,0.75,0,0,0.6,0.7778,0.7857,,,,,,,,,,0.8174,,,,0.6767
150765,,0,,0.7143,,0.644050847,,,,,,,,,,,,,,,,,,,,0.875,,,0.5556
150774,0.201,,0.3216,,0.399978667,,0.3289,0.1429,0.3636,0.6667,0,1,,0.2222,,,,,,,,,,,0.6203,,,,0.6462
150853,,0.6435,,0.6435,,0.500004938,,,,,,,,,,0.6022,0.7143,1,1,1,,,,,,0.6667,,1,0.5652
150941,0.4836,,0.5891,,0.605037572,,0.5823,0.2857,0.75,1,0,,0.8,0.8571,,,,,,,,,,,0.8622,,1,,0.7284
150987,,0.0191,,0.0827,,0.085742848,,,,,,,,,,0.0967,0.0236,0.0907,0.1,0.0725,,0.0255,0,0.0707,,0.4465,,0.3834,0.3384
151102,0.0713,,0.264,,0.261762631,,0.2714,0.0909,0.3333,0.2857,0.375,0,0.2917,0.6429,0.1053,,,,,,,,,,0.6843,,0.5385,,0.4363
151111,0.1751,,0.4343,,0.425306788,,0.4297,0.3728,0.4375,0.5686,0.2,0,0.5,0.5778,0.3721,,,,,,,,,,0.7091,,0.5409,,0.5126
151166,0,,0.5034,,0.382095415,,0.5714,0,1,,,,,,0.3182,,,,,,,,,,0.4167,,0.2667,,0.89
151263,0.3667,,0.5156,,0.542975912,,0.5712,0.2375,0.55,0.25,0,,0.1875,0.5,0.3636,,,,,,,,,,0.7392,,0.2581,,0.6441
151290,0.1799,,0.3118,,0.315746415,,0.675,0.4783,0.75,1,,,0.6667,0.7143,0.1729,,,,,,,,,,0.5581,,0.339,,0.8513
151306,0.1677,,0.4068,,0.401073771,,0.4287,0.1711,0.2703,0.5926,0.2727,0.5,,0.375,0.3182,,,,,,,,,,0.7242,,0.4286,,0.5255
151324,0.1954,,0.3991,,0.407303917,,0.4356,0.2639,0.3,0.3571,0.1667,,0.3696,0.44,0.3333,,,,,,,,,,0.6448,,0.4286,,0.6253
151333,0.0928,,0.2786,,0.277016898,,0.2876,0.2727,0.25,0,0,0,1,,0.0833,,,,,,,,,,0.637,,0.4419,,0.3552
151342,0.0634,,0.2587,,0.258362892,,0.2675,0.1884,0.283,0.4286,0,0,0.0909,0.4167,0.1081,,,,,,,,,,0.6585,,0.425,,0.3827
151351,0.5944,,0.7764,,0.773526772,,0.791,0.5889,0.696,0.7993,0.7857,1,0.8571,0.6912,0.6,,,,,,,,,,0.8904,,0.5,,0.3183
151360,0.0864,,0.2836,,0.271727083,,0.3244,0.0794,0.2931,0.2857,,,0.5,,0.1714,,,,,,,,,,0.6657,,0.536,,0.3804
151379,0.0853,,0.3155,,0.309202054,,0.3329,0.0816,0.2857,0.5714,0,,0.2,0.6667,0.1481,,,,,,,,,,0.6164,,0.463,,0.3936
151388,0.0893,,0.268,,0.252207568,,0.2748,0.3333,0,,0,,0,1,0.1429,,,,,,,,,,0.6312,,0.4444,,0.3786
151458,0.717,,0.7529,,0.737988414,,0.7597,0.75,0.4444,,,,,,1,,,,,,,,,,0.8824,,,,0.9413
151467,,0.732,,0.7386,,0.75220708,,,,,,,,,,0.7328,0.7143,0.8571,,,,1,,,,0.6478,,,0.9372
151494,0.0741,,0.329,,0.289364103,,0.33,0.3488,0.25,0,0,,,,0.5,,,,,,,,,,,,,,0.7219
151500,1,,0.3556,,0.339210526,,0.3418,0.5,0,,,,,,1,,,,,,,,,,,,,,0.8339
151519,0.0385,,0.1731,,0.18266717,,0.2444,0.1087,0.25,1,,,,,0.1388,,,,,,,,,,0.4545,,0.0769,,0.7607
151537,,0.9737,,0.9737,,0.974054545,,,,,,,,,,,,,,,,,,,,0.3846,,,1
151564,,0.2222,,0.3333,,0.433956604,,,,,,,,,,,,,,,,,,,,0.75,,0.7143,0
151607,,0,,0.625,,0.743594872,,,,,,,,,,,,,,,,,,,,0.8889,,0.7,0.6544
151616,0.2222,,0.5024,,0.477050765,,0.5085,0.5077,0.4211,1,0,,,,1,,,,,,,,,,0,,,,0.7868
151625,0,,0.2469,,0.276726415,,0.25,0.2222,0.3333,,,,,,,,,,,,,,,,,,,,0.7724
151652,,0.0361,,0.5904,,0.548605714,,,,,,,,,,,,,,,,,,,,0.6774,,0.6154,0.7143
151661,,0.4326,,0.5586,,0.522183012,,,,,,,,,,0.5962,0.3895,0.6522,0.6,0.6667,1,0.3043,1,0.75,,0.6014,,,0.6775
151777,0.4798,,0.548,,0.521060112,,0.5607,0.35,0.4167,0,0.5,,0.5,0.75,1,,,,,,,,,,0.6921,,,,0.9283
151786,0.3447,,0.5399,,0.532682412,,0.5534,0.5313,0.3333,0,0,,,0.6667,0.5714,,,,,,,,,,0.7425,,1,,0.7099
151801,0.5193,,0.6253,,0.6389125,,0.6484,0.5115,0.5854,0.8,0,0.5,0.7,1,0.25,,,,,,,,,,0.8412,,,,0.7019
151810,0,,0.0833,,0.097521951,,0.3333,0.0667,,,,,,,,,,,,,,,,,0.3913,,0.2581,,0.9468
151829,,0.7143,,0.7143,,0.420451136,,,,,,,,,,0.7188,,1,0,,,,,,,0.7619,,,0.4815
151865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151874,,0,,0.381,,0.274529412,,,,,,,,,,,,,,,,,,,,0.4167,,0.5,0
151944,0.3333,,0.3508,,0.371945657,,0.3571,0.3269,0.3,1,,,,,0,,,,,,,,,,,,,,0.766
151962,,,0.8276,,0.818190909,,0.875,0.6,,,,,,,,,,,,,,,,,,,,,0.746
152044,,0.7692,,0.7692,,0.739113043,,,,,,,,,,0.9231,0.619,1,1,,,,,,,0.75,,0.8235,0
152080,0.9071,,0.9573,,0.95295766,,0.9617,0.9057,0.974,0.9159,1,,0.9643,0.902,0.8889,,,,,,,,,,0.9802,,,,0.3997
152099,0.3545,,0.5992,,0.616572466,,0.6082,0.5625,0,,0.5,0,1,0.5714,0.5882,,,,,,,,,,0.6989,,1,,0.1441
152150,,0,,0,,0.466663333,,,,,,,,,,,,,,,,,,,,0.75,,0.9286,0.4432
152248,0.0943,,0.3141,,0.313598561,,0.3631,0.1318,0.3542,0.4545,,0,0.3125,0.2778,,,,,,,,,,,0.7354,,0.7429,,0.4137
152266,0.0545,,0.2415,,0.252067995,,0.2488,0.2623,0.0789,0.2,0.25,,,0.5,0.25,,,,,,,,,,0.5745,,0.4524,,0.3515
152275,,0.0233,,0.4884,,0.535110526,,,,,,,,,,,,,,,,,,,,0.6,,0.8,0.5503
152309,,0.0345,,0.6897,,0.701622581,,,,,,,,,,,,,,,,,,,,0.8333,,1,0.5172
152318,0.5729,,0.7208,,0.724580105,,0.747,0.5,0.2727,0.9231,0,0.5,0.5909,0.5,,,,,,,,,,,0.9392,,,,0.5465
152327,,0.0455,,0.7727,,0.69384898,,,,,,,,,,,,,,,,,,,,0.3333,,,0.6552
152336,0.3105,,0.4969,,0.517204484,,0.5606,0.125,0.3571,0,0,,0.25,0.3333,0,,,,,,,,,,0.7109,,0.6667,,0.7798
152363,0.3986,,0.4561,,0.446334899,,0.4915,0.2105,0.5882,0.6667,0,,0,,,,,,,,,,,,0.7399,,,,0.5635
152381,0.3636,,0.4545,,0.52218,,0.4051,0,1,,,,,,0.6,,,,,,,,,,0.8197,,0.25,,0.7343
152390,0.778,,0.8088,,0.759105032,,0.8225,0.6667,0.7714,0.6667,1,,0.8,0.6,0.7273,,,,,,,,,,0.8924,,,,0.6119
152415,,0.5086,,0.5771,,0.581308735,,,,,,,,,,,,,,,,,,,,0.7674,,,0.6232
152451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152497,,0.1176,,0.3529,,0.288116949,,,,,,,,,,0.375,,0,,,,,,,,0.75,,,0.8996
152530,0.671,,0.7419,,0.741698506,,0.7463,0.5455,0.8182,0.8889,,,0.8,0.6667,0,,,,,,,,,,0.8824,,0,,0.4497
152567,0.3442,,0.5394,,0.525958491,,0.5788,0.3125,0.2857,0.4,0.5,,,0.6,0.4651,,,,,,,,,,0.7231,,,,0.5934
152600,0.5954,,0.6718,,0.687175365,,0.7122,0.2222,0.5833,0.5,0.3333,0.3333,0.8333,0.5714,0.5,,,,,,,,,,0.8425,,,,0.5829
152628,,0.6,,0.6,,0.59573617,,,,,,,,,,,,,,,,,,,,0.8125,,1,0.1349
152637,0.2245,,0.2279,,0.238132359,,0.2753,0.0443,0.0625,0.125,0.25,,0.3,0.125,0.12,,,,,,,,,,0.5588,,,,0.2379
152673,0.6827,,0.7349,,0.71285,,0.7857,0.5714,0.3636,0.6667,0.5,,1,0.7333,0.2,,,,,,,,,,0.8921,,,,0.6703
152798,,,0.75,,0.6735,,0.75,,,,,,,,,,,,,,,,,,1,,,,0.8065
152822,,,0.56,,0.584536029,,0.5648,0.5,0.4,0.5,,,,,0.625,,,,,,,,,,0.7551,,0.1429,,0.7125
152992,0.377,,0.4683,,0.461386337,,0.4901,0.35,0.3182,0.6667,0.3333,1,1,,,,,,,,,,,,0.5419,,,,0.7975
153001,0.3516,,0.4579,,0.488969339,,0.4789,0.5,0.3636,0.25,,,0.3333,0.3077,,,,,,,,,,,0.7341,,,,0.8195
153074,,0.3256,,0.6512,,0.649555556,,,,,,,,,,0.6579,1,0,1,0,,,,,,0.9231,,,0.5103
153083,,0.3333,,0.6944,,0.68,,,,,,,,,,0.75,,1,,,,0,,0,,0.7273,,,0.5211
153092,,0.7273,,0.7273,,0.685216667,,,,,,,,,,1,0.5,1,1,,,,,,,0.7143,,,0.8889
153108,0.6312,,0.6807,,0.664657869,,0.6923,0.3333,0.6667,0.5714,,,0.5,,0.3333,,,,,,,,,,0.7767,,,,0.7035
153126,0.4892,,0.741,,0.714728221,,0.7838,1,0.6,,,,0.25,0.7143,0.7174,,,,,,,,,,0.7333,,,,0.7745
153144,0.6129,,0.7038,,0.68522284,,0.6932,0.7143,0.8571,1,,,0.4,1,0.6667,,,,,,,,,,0.7758,,,,0.7118
153162,0.6217,,0.6569,,0.666663775,,0.6608,0.3636,0.6364,0.7778,0.8,,0.7778,0.5625,0.6792,,,,,,,,,,0.8259,,,,0.6924
153171,,0.1111,,1,,0.705882353,,,,,,,,,,1,,1,,,,,,,,0.5,,,0.6275
153214,,0.1364,,0.2034,,0.188824374,,,,,,,,,,0.2374,0.05,0.1438,0.1667,0.125,0.3333,0.1525,0.2,0.1798,,0.5418,,0.3543,0.4518
153241,0.5,,0.5,,0.321410714,,,1,,0,,,,,,,,,,,,,,,0.6364,,,,0.4
153250,0.5692,,0.6558,,0.63973641,,0.6686,0.3333,0.1667,1,0,0.5,,0.6842,,,,,,,,,,,0.8413,,,,0.6337
153269,0.655,,0.778,,0.752192434,,0.7829,0.6667,0.625,0.9,1,1,0.9167,0.75,0.2222,,,,,,,,,,0.8859,,,,0.5211
153278,0.3742,,0.4806,,0.474434926,,0.7315,0.5556,0.5,0.5,0.6667,,,1,0.0769,,,,,,,,,,0.6485,,,,0.8294
153296,,0.1704,,0.1865,,0.200932025,,,,,,,,,,0.2423,0.0714,0.1364,0,0.3333,,0,0.25,0.1,,0.5233,,0.1579,0.4952
153302,0.5,,0.8197,,0.798352101,,0.8113,,0.75,1,1,,,,1,,,,,,,,,,0.8519,,,,0.5187
153311,,0.175,,0.2761,,0.246867144,,,,,,,,,,0.3063,0.066,0.2597,0.2143,0.3333,0,0.1923,0.3913,0.4815,,0.5758,,0.4668,0.3395
153320,0.3934,,0.6374,,0.6154,,0.6364,,0.5,1,,,,,,,,,,,,,,,0.6667,,,,0.476
153339,,0.5833,,0.5833,,0.63998,,,,,,,,,,0.4706,1,0.8,1,,,,,,,0.8,,,0.6667
153366,0.3571,,0.5408,,0.5000103,,0.5809,0.5294,0.25,0,1,0.5,1,0.5,0.1667,,,,,,,,,,0.5969,,,,0.728
153375,0.2836,,0.4665,,0.470824903,,0.5125,0.2647,0.2143,0.5,,,0.5,0.6667,0,,,,,,,,,,0.7138,,,,0.813
153384,0.8485,,0.8939,,0.876102027,,0.903,0.6818,0.8421,0.9091,1,,1,0.9348,0.8667,,,,,,,,,,0.9433,,,,0.4126
153409,,,0.3158,,0.40459771,,0.4348,,0.25,,,,1,,0.0417,,,,,,,,,,0.25,,,,0.7707
153418,0,,0.2917,,0.324503311,,0.4615,0.1429,0,0.5,,,0,,0.0476,,,,,,,,,,,,,,0.7598
153427,,,0.7203,,0.7308,,0.7658,0.4118,0.6667,,,,1,,0.7143,,,,,,,,,,,,,,0.8136
153445,,0.0753,,0.2809,,0.343764085,,,,,,,,,,0.3015,0.0617,0.2414,0.1111,0,0,0.2,0,,,0.7357,,0.436,0.482
153463,,0.68,,0.68,,0.749997727,,,,,,,,,,0.6522,,,,,,1,,,,0.7778,,,0.7692
153472,,0.2175,,0.2444,,0.227615538,,,,,,,,,,0.2504,0.1364,0.1429,0.1667,0.25,,0.1667,0.3846,0.25,,0.5418,,0.3231,0.55
153524,,0.2907,,0.3709,,0.355256452,,,,,,,,,,0.4246,0.1883,0.2,0.1429,0.3333,0,0.1481,0.3846,0.3158,,0.543,,0.8056,0.4007
153533,,0.4661,,0.4751,,0.437041658,,,,,,,,,,0.4884,0.2308,0.4375,0.5,0,0,0,,0.4737,,0.5531,,0.1304,0.3863
153542,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.5882
153588,,0.4762,,0.7619,,0.769232692,,,,,,,,,,0.5833,1,1,,,,,,,,0.8333,,,0.6486
153597,,0.1714,,0.8286,,0.630247059,,,,,,,,,,0.8636,0.6667,,1,,,,,0.8333,,0.6571,,,0.6987
153603,0.3947,,0.6893,,0.685253809,,0.708,0.4964,0.5423,0.6571,0.4783,,,0.6291,0.6842,,,,,,,,,,0.8639,,0.7917,,0.5224
153621,0.2752,,0.3221,,0.311562681,,0.4333,0.1429,0.4286,0,0,,,0,0.25,,,,,,,,,,0.5784,,0,,0.8314
153630,,0.11,,0.1838,,0.180745769,,,,,,,,,,0.1971,0.0995,0.1798,0.2222,0.2857,0,,0.2857,0.2222,,0.4961,,0.3,0.5674
153658,0.4816,,0.7004,,0.698282324,,0.7059,0.4902,0.6187,0.7153,0.6667,0.8182,,0.7279,0.7438,,,,,,,,,,0.8611,,0.7474,,0.4554
153737,,0.1257,,0.2173,,0.206420051,,,,,,,,,,0.2527,0.026,0.1316,0.1538,0.0714,0,0.1228,0.2982,0.2319,,0.5775,,0.3486,0.3855
153746,,0.6049,,0.6173,,0.691132461,,,,,,,,,,0.64,0.4,0,,,,,,,,0.7857,,,0.8108
153764,,0.5614,,0.5877,,0.599292419,,,,,,,,,,0.6222,0.3077,0.6667,0,,,1,,,,0.6667,,,0.7517
153773,,0.6667,,0.8333,,0.83245445,,,,,,,,,,0.8391,0.5,0.8333,,,,,1,,,0.8594,,,0.9697
153782,,0.5616,,0.6301,,0.658151531,,,,,,,,,,0.6364,1,0.3333,,0,,,,,,0.8333,,,0.7456
153825,0.513,,0.6373,,0.623335696,,0.6399,0.4,0.5385,0,1,,1,0.8125,0.5,,,,,,,,,,0.8092,,,,0.6911
153834,0.7444,,0.8159,,0.787423429,,0.8356,0.6667,0.6429,0.7273,,,0.3333,0.8889,0.7091,,,,,,,,,,0.8517,,0,,0.6687
153861,0.2941,,0.3235,,0.323916901,,0.4,,0,,,,0,0.3333,,,,,,,,,,,0.7222,,0,,0.8621
153922,,0.1701,,0.1816,,0.21190378,,,,,,,,,,0.206,0.0408,0.2292,0,0.0714,0,0,0.3158,0.1333,,0.5306,,0.3289,0.3141
153977,,,0.413,,0.3846,,0.45,0,0.5,0,,,,,0,,,,,,,,,,0,,0,,0.7184
154004,0.4371,,0.5364,,0.557633898,,0.5649,0.3333,0.2,0.5,0.5,,,0.5,0.381,,,,,,,,,,0.7479,,,,0.7833
154013,0.6279,,0.7151,,0.721157692,,0.7219,,1,1,0,,0,0.7778,0.625,,,,,,,,,,0.8052,,,,0.7405
154022,0.0421,,0.1819,,0.190058524,,0.2215,0.1188,0.1406,0.1333,0.2381,1,0.25,0.6667,0.0956,,,,,,,,,,0.4171,,,,0.7203
154059,,0.3196,,0.4091,,0.395998197,,,,,,,,,,0.4575,0.175,0.1765,0.25,1,,0.2778,0.2727,0,,0.6713,,0.5467,0.3446
154095,0.3788,,0.6395,,0.652036929,,0.6486,0.4203,0.4667,0.7143,0.6667,,,0.8571,0.6452,,,,,,,,,,0.8482,,0.3333,,0.5998
154101,0.5392,,0.6314,,0.632082658,,0.6471,0.2,0.8,0.3333,,,1,0.2857,,,,,,,,,,,0.7746,,,,0.6894
154110,,0.2527,,0.3354,,0.310704913,,,,,,,,,,0.3504,0.0417,0.0714,1,0,0,0.5,,0.4063,,0.5823,,0.3708,0.3378
154129,,0.465,,0.5391,,0.52621301,,,,,,,,,,0.553,0,0.25,0,0.3333,,0.75,,0.625,,0.6903,,0.45,0.2566
154156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154165,,0.1224,,0.6327,,0.602297727,,,,,,,,,,0.675,0,0.5,0.5,,,,,,,0.6364,,,0.9694
154174,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,0.7436
154208,,0.2308,,0.6154,,0.681836364,,,,,,,,,,0.6,,1,1,,,,,,,0.8125,,,0.5578
154235,0.4308,,0.5709,,0.590741574,,0.5904,0.3,0.5833,0.5714,0.5,,,0,0.3448,,,,,,,,,,0.7736,,1,,0.685
154262,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,0.8424
154332,,0.4694,,0.5714,,0.554541818,,,,,,,,,,0.619,0.3333,0.25,,,,,,,,0.6923,,,0.8056
